x,y
0.1,57.64951891
0.2,47.40869977
0.3,69.46902086
0.4,37.55085554
0.5,78.60685311
0.6,58.97591048
0.7,81.43372321
0.8,77.12817932
0.9,81.06732156
1,129.650206
1.1,141.3333419
1.2,145.767738
1.3,149.6379933
1.4,197.0628418
1.5,211.2579005
1.6,287.7695226
1.7,159.3020475
1.8,201.0343861
1.9,306.7156514
2,166.6878711
2.1,362.9120364
2.2,258.4174098
2.3,564.2513395
2.4,524.4623699
2.5,556.5671093
2.6,330.4347445
2.7,731.4389249
2.8,895.8949025
2.9,412.8047413
3,973.3083486
3.1,1185.912643
3.2,653.4181216
3.3,932.8495073
3.4,1382.055788
3.5,884.3407085
3.6,852.3433023
3.7,1762.165716
3.8,2595.921256
3.9,1481.590961
4,1230.851315
4.1,1724.081207
4.2,2555.625957
4.3,1917.378541
4.4,2096.793677
4.5,2913.675112
4.6,2887.809819
4.7,5511.585362
4.8,4205.659368
4.9,4065.911571
5,3459.391542
5.1,3772.455476
5.2,7531.33146
5.3,11073.72505
5.4,5876.752714
5.5,9085.29275
5.6,7875.336072
5.7,8442.840115
5.8,8827.896628
5.9,10084.77612
6,16084.50141
6.1,16169.86885
6.2,15790.98471
6.3,24736.12411
6.4,20838.26309
6.5,16206.98264
6.6,30919.96522
6.7,24806.76872
6.8,32169.1827
6.9,36460.97581
7,35167.97831
7.1,46419.53058
7.2,33066.37492
7.3,34849.63433
7.4,48151.11983
7.5,80746.8767
7.6,66777.14171
7.7,65363.95816
7.8,80253.58924
7.9,83954.81516
8,128531.0485
8.1,94213.4809
8.2,88453.78555
8.3,91939.82131
8.4,115133.8856
8.5,242371.7091
8.6,151457.8023
8.7,140572.5698
8.8,271813.7852
8.9,174849.308
9,191969.3445
9.1,390733.1138
9.2,291662.7969
9.3,341523.8248
9.4,393405.3104
9.5,349721.3125
9.6,363607.2794
9.7,881930.012
9.8,1053557.004
9.9,450304.0373
10,1311153.309
