x,z
0.1,1.159562888
0.2,1.002380723
0.3,0.9359201436
0.4,0.01626132943
0.5,1.172651629
0.6,0.5856829048
0.7,1.292097032
0.8,1.18972661
0.9,1.289481062
1,1.299157674
1.1,1.615497591
1.2,1.5995774
1.3,1.489348082
1.4,0.8827030173
1.5,0.4418301555
1.6,1.364364062
1.7,1.672826088
1.8,1.642385467
1.9,1.741077415
2,1.414388497
2.1,1.513950301
2.2,1.487400191
2.3,1.456894134
2.4,1.25158484
2.5,1.696226656
2.6,1.569942299
2.7,1.253396233
2.8,0.6855130047
2.9,1.904516376
3,1.835776549
3.1,1.945898522
3.2,1.120317565
3.3,1.605356707
3.4,1.285168452
3.5,1.868135397
3.6,1.967465138
3.7,1.459457658
3.8,0.1045302239
3.9,1.764072125
4,1.984146485
4.1,2.067984608
4.2,1.89544392
4.3,1.604699541
4.4,1.9933616
4.5,1.778753623
4.6,2.062172263
4.7,1.732218117
4.8,1.883842876
4.9,2.05688526
5,1.17193115
5.1,1.996308874
5.2,1.904099801
5.3,1.836499143
5.4,1.745056421
5.5,1.418802523
5.6,1.649413973
5.7,1.657180441
5.8,1.782409948
5.9,2.114905524
6,2.077590717
6.1,1.923071909
6.2,1.638174216
6.3,2.142441821
6.4,2.215790554
6.5,1.821013966
6.6,1.836395274
6.7,1.733515318
6.8,0.2153057948
6.9,1.330702118
7,2.250346268
7.1,2.075782255
7.2,2.255787546
7.3,1.675749334
7.4,1.365492571
7.5,1.760787218
7.6,2.30547832
7.7,2.274952292
7.8,1.524499408
7.9,1.628722553
8,1.785536916
8.1,1.798346334
8.2,1.939791582
8.3,2.106221485
8.4,1.445041261
8.5,1.963214138
8.6,2.137763059
8.7,1.020381356
8.8,1.658711684
8.9,2.240459211
9,2.261544017
9.1,2.218514347
9.2,2.090667671
9.3,2.201462133
9.4,1.876555475
9.5,2.304601673
9.6,2.267108312
9.7,2.351145316
9.8,1.957879577
9.9,1.426106322
10,2.250976421
